date,value1,value2
1/1/1980,783700,35
1/1/1981,785000,44.4
1/1/1982,783700,53.5
1/1/1983,781000,58.4
1/1/1984,785000,60.5
1/1/1985,783000,74.9
1/1/1986,781000,72.8
1/1/1987,781000,73.9
1/1/1988,773400,75.5
1/1/1989,770000,76
1/1/1990,733200,77.6
1/1/1991,710900,96
1/1/1992,607300,73.9
1/1/1993,575600,64.8
1/1/1994,540500,62.6
1/1/1995,505000,64.2
1/1/1996,492500,64.8
1/1/1997,491600,64.8
1/1/1998,483100,64.2
1/1/1999,477000,65.8
1/1/2000,479000,71.7
1/1/2001,477000,76
1/1/2002,486000,85.1
1/1/2003,494000,120
1/1/2004,494000,153
1/1/2005,488000,153
1/1/2006,498000,173
1/1/2007,515000,220
1/1/2008,536000,252
1/1/2009,550000,231
1/1/2010,559300,240
1/1/2011,561000,235
1/1/2012,546500,203
