date,value1,value2
1/1/1940,2287,24.9
1/1/1941,2501,28.6
1/1/1942,1989,20.0
1/1/1943,1523,16.6
1/1/1944,1537,16.7
1/1/1945,1788,19.1
1/1/1946,2411,22.5
1/1/1947,2573,21.6
1/1/1948,2714,21.0
1/1/1949,2845,20.3
1/1/1950,3017,21.9
1/1/1951,3191,22.9
1/1/1952,3284,23.1
1/1/1953,3425,22.8
1/1/1954,3471,20.9
1/1/1955,3669,22.2
1/1/1956,3755,22.6
1/1/1957,3768,21.6
1/1/1958,3817,20.3
1/1/1959,3954,20.4
1/1/1960,3994,20.2
1/1/1961,4030,19.8
1/1/1962,4127,21.0
1/1/1963,4272,22.1
1/1/1964,4428,23.9
1/1/1965,4588,24.3
1/1/1966,4734,26.0
1/1/1967,4882,25.7
1/1/1968,5061,26.3
1/1/1969,5239,26.4
1/1/1970,5412,25.7
1/1/1971,5677,25.3
1/1/1972,6002,26.0
1/1/1973,6197,25.5
1/1/1974,5988,21.1
1/1/1975,6147,20.6
1/1/1976,6432,20.9
1/1/1977,6661,21.7
1/1/1978,6940,22.6
1/1/1979,6794,22.7
1/1/1980,6707,22.4
1/1/1981,6763,21.4
1/1/1982,6869,18.9
1/1/1983,7054,18.2
1/1/1984,7279,18.7
1/1/1985,7443,18.4
1/1/1986,7625,19.2
1/1/1987,7913,19.1
1/1/1988,8269,19.2
1/1/1989,8476,18.4
1/1/1990,8573,17.8
1/1/1991,8568,16.4
1/1/1992,8747,15.3
1/1/1993,8824,15.4
1/1/1994,8949,15.5
1/1/1995,9089,15.7
1/1/1996,9218,15.6
1/1/1997,9387,15.4
1/1/1998,9531,15.0
1/1/1999,9635,14.9
1/1/2000,9728,14.9
1/1/2001,9804,14.8
1/1/2002,9911,14.9
1/1/2003,9939,14.7
1/1/2004,10103,14.6
1/1/2005,10093,14.7
1/1/2006,10082,14.3
1/1/2007,10037,13.7
1/1/2008,9766,12.3
1/1/2009,9617,11.0
1/1/2010,9608,10.6
1/1/2011,9509,10.4
