date,value1,value2
1/1/1947,71769,156.01
1/1/1948,64528,144.36
1/1/1949,56223,146.18
1/1/1950,83056,129.92
1/1/1951,114362,111.51
1/1/1952,147585,109.4
1/1/1953,164409,109.8
1/1/1954,194650,126.32
1/1/1955,225743,134.14
1/1/1956,249169,132.17
1/1/1957,298151,127.94
1/1/1958,340744,124.4
1/1/1959,487690,123.54
1/1/1960,655932,121.45
1/1/1961,743248,120.24
1/1/1962,728340,268.8
1/1/1963,2300022,265.29
1/1/1964,4131521,261.86
1/1/1965,4472265,257.71
1/1/1966,4706527,250.55
1/1/1967,4834306,243.05
1/1/1968,4791713,233.27
1/1/1969,4791713,221.19
1/1/1970,4727823,209.22
1/1/1971,4770416,200.44
1/1/1972,4301893,194.21
1/1/1973,3407440,182.83
1/1/1974,1043529,164.66
1/1/1975,1250105,150.89
1/1/1976,1516311,142.67
1/1/1977,1667516,133.96
1/1/1978,1788906,124.51
1/1/1979,1893259,111.82
1/1/1980,1610015,98.52
1/1/1981,1188345,89.3
1/1/1982,389726,84.12
1/1/1983,741118,87.33
1/1/1984,1825110,83.71
1/1/1985,2076409,80.83
1/1/1986,2129650,79.36
1/1/1987,2470394,76.56
1/1/1988,2832435,73.52
1/1/1989,3151882,70.14
1/1/1990,3322254,66.55
1/1/1991,3386144,82.51
1/1/1992,3599109,90.92
1/1/1993,3599109,88.28
1/1/1994,3812074,86.08
1/1/1995,4003742,83.7
1/1/1996,4003742,81.3
1/1/1997,4983381,79.48
1/1/1998,4834306,59.76
1/1/1999,4876899,58.47
1/1/2000,4216707,61.96
1/1/2001,3812074,60.24
1/1/2002,3939853,62.53
1/1/2003,5196346,78.78
1/1/2004,5558387,76.74
1/1/2005,5771352,83.13
1/1/2006,5984317,94.91
1/1/2007,6154689,109.07
1/1/2008,6282468,134.66
1/1/2009,5302829,145.95
1/1/2010,6048206,159.55
1/1/2011,6197282,164.98
1/1/2012,6237156,171.74
