Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20,National-US
31778.0,,59.43,54.79,46.96,50.35,64.41,68.55,77.44,,54.21,70.27,,,63.56,66.42,74.68,54.06,41.3,,,63.1,,63.99
31809.0,,59.89,55.22,47.3,50.16,65.13,68.92,78.1,,55.23,70.64,,,64.03,67.57,76.04,54.23,41.44,,,63.8,,64.45
31837.0,,60.4,55.49,47.84,50.38,66.0,69.39,77.69,,54.81,71.05,,,64.11,67.85,77.24,54.37,41.42,,,64.43,,64.76
31868.0,,61.32,56.05,47.98,50.74,66.64,69.46,77.82,,54.8,71.41,,,64.89,68.19,78.28,54.16,41.27,,,65.06,,65.16
31898.0,,62.03,56.46,48.31,50.76,67.44,69.75,77.97,,55.48,71.88,,,65.22,67.93,79.68,54.73,41.4,,,65.82,,65.59
31929.0,,62.78,56.79,48.61,50.43,68.52,69.47,78.68,,56.06,72.3,,,65.56,66.8,80.84,54.88,41.43,,,66.48,,66.09
31959.0,,63.46,57.08,49.08,50.2,69.39,69.64,78.99,,57.11,72.62,,,65.72,65.76,81.7,55.29,41.56,,,67.12,,66.52
31990.0,,64.13,57.38,49.54,50.12,70.25,69.8,78.95,,57.61,73.16,,,65.87,65.03,82.22,55.44,41.6,,,67.71,,66.95
32021.0,,64.89,57.84,50.24,50.06,71.4,70.57,79.04,,58.27,73.75,,,66.27,65.28,82.38,55.84,41.54,,,68.35,,67.34
32051.0,,65.77,58.3,50.99,50.15,72.32,71.02,78.87,,59.01,74.01,,,66.59,65.51,83.16,56.13,41.63,,,68.99,,67.76
32082.0,,66.71,58.9,51.64,49.73,73.16,71.42,79.02,,59.71,74.42,,,67.12,66.53,83.68,56.46,41.57,,,69.57,,68.12
32112.0,,67.78,59.4,52.23,49.85,73.59,71.46,79.36,,61.08,74.58,,,67.38,66.49,84.5,56.61,41.8,,,70.31,,68.53
32143.0,,68.78,60.02,52.7,49.55,74.4,71.68,79.5,,61.97,74.66,,,67.78,66.7,84.32,56.99,41.84,,,70.76,,68.88
32174.0,,69.71,60.49,53.2,49.49,75.29,71.83,79.43,,63.45,74.59,,,67.53,66.43,84.49,57.22,41.66,,,71.24,,69.28
32203.0,,70.7,61.28,53.87,49.06,76.39,72.35,79.24,,64.51,74.48,,,67.96,66.76,84.48,57.9,42.24,,,71.74,,69.66
32234.0,,71.48,61.44,54.53,48.74,77.3,72.72,79.66,,65.15,74.53,,,67.93,67.43,84.69,58.07,42.43,,,72.2,,69.99
32264.0,,72.48,61.85,56.07,48.35,78.38,73.1,79.95,,65.57,74.81,,,67.99,67.58,84.76,58.26,42.74,,,72.76,,70.43
32295.0,,74.39,61.44,57.88,48.17,79.34,73.71,80.18,,66.46,75.0,,,68.13,67.53,84.6,58.96,42.71,,,73.5,,70.89
32325.0,,76.92,64.59,58.17,48.22,80.78,74.11,80.51,,66.55,75.03,,,68.57,67.65,84.5,59.22,42.84,,,74.34,,71.36
