TX-Dallas,CO-Denver,MA-Boston,Composite-20,CA-San Francisco,FL-Tampa,DC-Washington,Composite-10,CA-Los Angeles,Date,AZ-Phoenix,CA-San Diego,MI-Detroit,National-US,MN-Minneapolis,GA-Atlanta,WA-Seattle,NV-Las Vegas,IL-Chicago,OR-Portland,FL-Miami,NY-New York,NC-Charlotte,OH-Cleveland
,50.35,70.27,,46.96,77.44,64.41,63.1,59.43,1/1/1987,,54.79,,63.99,,,,66.42,54.21,41.3,68.55,74.68,63.56,54.06
,50.16,70.64,,47.3,78.1,65.13,63.8,59.89,2/1/1987,,55.22,,64.45,,,,67.57,55.23,41.44,68.92,76.04,64.03,54.23
,50.38,71.05,,47.84,77.69,66.0,64.43,60.4,3/1/1987,,55.49,,64.76,,,,67.85,54.81,41.42,69.39,77.24,64.11,54.37
,50.74,71.41,,47.98,77.82,66.64,65.06,61.32,4/1/1987,,56.05,,65.16,,,,68.19,54.8,41.27,69.46,78.28,64.89,54.16
,50.76,71.88,,48.31,77.97,67.44,65.82,62.03,5/1/1987,,56.46,,65.59,,,,67.93,55.48,41.4,69.75,79.68,65.22,54.73
,50.43,72.3,,48.61,78.68,68.52,66.48,62.78,6/1/1987,,56.79,,66.09,,,,66.8,56.06,41.43,69.47,80.84,65.56,54.88
,50.2,72.62,,49.08,78.99,69.39,67.12,63.46,7/1/1987,,57.08,,66.52,,,,65.76,57.11,41.56,69.64,81.7,65.72,55.29
,50.12,73.16,,49.54,78.95,70.25,67.71,64.13,8/1/1987,,57.38,,66.95,,,,65.03,57.61,41.6,69.8,82.22,65.87,55.44
,50.06,73.75,,50.24,79.04,71.4,68.35,64.89,9/1/1987,,57.84,,67.34,,,,65.28,58.27,41.54,70.57,82.38,66.27,55.84
,50.15,74.01,,50.99,78.87,72.32,68.99,65.77,10/1/1987,,58.3,,67.76,,,,65.51,59.01,41.63,71.02,83.16,66.59,56.13
,49.73,74.42,,51.64,79.02,73.16,69.57,66.71,11/1/1987,,58.9,,68.12,,,,66.53,59.71,41.57,71.42,83.68,67.12,56.46
,49.85,74.58,,52.23,79.36,73.59,70.31,67.78,12/1/1987,,59.4,,68.53,,,,66.49,61.08,41.8,71.46,84.5,67.38,56.61
,49.55,74.66,,52.7,79.5,74.4,70.76,68.78,1/1/1988,,60.02,,68.88,,,,66.7,61.97,41.84,71.68,84.32,67.78,56.99
,49.49,74.59,,53.2,79.43,75.29,71.24,69.71,2/1/1988,,60.49,,69.28,,,,66.43,63.45,41.66,71.83,84.49,67.53,57.22
,49.06,74.48,,53.87,79.24,76.39,71.74,70.7,3/1/1988,,61.28,,69.66,,,,66.76,64.51,42.24,72.35,84.48,67.96,57.9
,48.74,74.53,,54.53,79.66,77.3,72.2,71.48,4/1/1988,,61.44,,69.99,,,,67.43,65.15,42.43,72.72,84.69,67.93,58.07
,48.35,74.81,,56.07,79.95,78.38,72.76,72.48,5/1/1988,,61.85,,70.43,,,,67.58,65.57,42.74,73.1,84.76,67.99,58.26
,48.17,75.0,,57.88,80.18,79.34,73.5,74.39,6/1/1988,,61.44,,70.89,,,,67.53,66.46,42.71,73.71,84.6,68.13,58.96
,48.22,75.03,,58.17,80.51,80.78,74.34,76.92,7/1/1988,,64.59,,71.36,,,,67.65,66.55,42.84,74.11,84.5,68.57,59.22
,48.25,74.84,,58.5,80.71,81.93,75.09,78.67,8/1/1988,,65.29,,71.81,,,,67.95,67.75,43.2,74.68,84.59,69.42,59.63
,48.21,74.71,,58.94,80.63,83.16,75.82,80.61,9/1/1988,,66.08,,72.25,,,,68.46,68.02,43.43,75.25,84.58,69.71,59.89
,48.03,74.6,,59.95,80.73,83.67,76.43,82.38,10/1/1988,,67.18,,72.65,,,,68.46,69.03,43.74,75.6,84.48,69.89,60.34
,47.75,74.64,,61.11,80.61,84.63,77.08,84.41,11/1/1988,,68.43,,73.08,,,,68.14,68.65,43.95,75.96,84.49,69.64,60.73
,47.44,74.7,,62.47,80.9,85.93,77.68,85.82,12/1/1988,,69.83,,73.48,,,,67.83,68.51,44.21,76.22,84.38,69.85,61.31
,47.47,74.52,,63.29,80.56,86.87,78.33,87.47,1/1/1989,67.57,71.17,,73.96,63.49,,,68.78,68.33,44.48,76.58,84.48,69.92,62.0
,47.45,75.17,,64.06,80.99,87.8,78.9,88.77,2/1/1989,67.62,72.76,,74.39,63.15,,,69.64,69.01,44.8,76.99,84.27,70.33,62.07
,47.53,75.55,,65.56,81.61,88.62,79.82,91.15,3/1/1989,67.92,74.48,,74.79,62.69,,,70.48,70.07,45.0,77.18,84.19,70.62,62.17
,47.47,75.39,,66.7,81.97,89.33,80.44,93.01,4/1/1989,67.97,75.81,,75.09,63.08,,,70.0,70.65,45.35,77.55,83.88,70.88,61.97
,47.6,75.04,,67.7,82.35,89.78,80.83,94.57,5/1/1989,68.07,77.05,,75.31,63.18,,,69.79,70.51,45.61,77.57,83.49,71.22,62.64
,47.61,74.52,,68.78,81.96,90.2,81.07,95.51,6/1/1989,67.7,78.14,,75.48,63.74,,,71.55,70.52,46.02,77.81,82.95,71.48,62.83
,47.5,74.18,,69.59,81.87,90.71,81.14,96.25,7/1/1989,67.34,79.03,,75.66,63.56,,,71.77,70.33,46.26,78.04,82.17,71.66,63.27
,47.48,73.44,,70.72,81.24,91.37,81.4,96.66,8/1/1989,66.95,80.1,,75.84,63.8,,,72.39,70.37,46.59,78.26,81.94,71.61,63.88
,47.6,73.01,,71.59,81.67,91.93,81.62,97.2,9/1/1989,66.82,81.1,,76.06,63.89,,,72.79,70.18,46.93,78.25,81.54,71.68,64.31
,47.9,72.72,,72.43,81.94,92.19,81.94,97.88,10/1/1989,66.56,82.06,,76.29,64.12,,,73.46,70.06,47.35,78.38,81.79,71.82,64.72
,48.11,72.99,,73.02,82.3,92.38,82.23,99.0,11/1/1989,66.49,82.71,,76.52,64.4,,,74.26,69.87,47.76,78.32,81.55,72.29,64.57
,48.21,73.0,,73.39,82.15,92.84,82.47,99.77,12/1/1989,66.5,83.57,,76.71,64.39,,,74.86,69.68,48.71,78.72,81.34,72.58,65.2
,48.24,73.1,,73.64,82.43,93.36,82.65,100.47,1/1/1990,66.58,84.08,,76.9,64.22,,58.89,75.56,69.36,49.65,79.17,81.04,72.84,65.37
,48.36,72.87,,73.82,82.74,93.66,82.73,100.76,2/1/1990,66.7,84.74,,77.05,64.01,,60.96,75.64,68.7,50.57,79.67,80.98,73.01,65.98
,48.5,72.19,,74.6,83.12,93.61,82.76,100.99,3/1/1990,66.64,85.13,,77.2,64.23,,62.95,76.6,68.9,50.77,79.53,80.81,73.16,66.3
